ID,State,Name,Category,Income,Qualification,Description,LINKS,Type
11,Maharashtra,Open Merit Scholarships for EBC Students,EBC,0,FYJC or HSC,"Open Merit Scholarships for EBC Students, Maharashtra 2022-23 is an initiative of the School Education and Sports Department, Government of Maharashtra to provide financial assistance to EBC category students studying in Class 11 and 12. The key objective of the scholarship is to enable students to continue further their higher education. The selected students will receive a scholarship amount of up to INR 140 per month for boys and up to INR 160 per month for girls for 10 months.",https://mahadbt.maharashtra.gov.in/login/login,Government
12,Maharashtra,Open Merit Scholarships in Junior College,all,0,FYJC or HSC,"Open Merit Scholarships in Junior College, Maharashtra 2022-23 is an initiative of the School Education and Sports Department, Government of Maharashtra to financially help students of Class 11 and 12. The objective of this scholarship is to motivate those students to pursue further higher education. The selected students will receive INR 50 per month for 10 months.",https://mahadbt.maharashtra.gov.in/login/login,Government
13,Maharashtra,Payment of Maintenance Allowance to VJNT and SBC Students ,VJNT or SBC,800000,post-matric,"Maintenance Allowance to VJNT and SBC Students in Professional Courses 2022-23, Maharashtra is an initiative of the VJNT, OBC, and SBC Welfare Department, Government of Maharashtra to provide financial help to VJNT and SBC category students who are pursuing professional courses and residing in hostels attached to professional colleges. The selected students will receive a  monthly maintenance allowance for a duration of 10 months.",https://mahadbt.maharashtra.gov.in/login/login,Government
14,Maharashtra,Post Matric Scholarship Scheme (Government Of India ),ST,250000,post-matric,"Post Matric Scholarship Scheme Government of India 2022-23, Maharashtra is an initiative of the Maharashtra Government and Tribal Development Department, Government of India to provide financial support to Scheduled Tribe (ST) community students in Maharashtra. The scholarship encourages ST students from financially underprivileged backgrounds for pursuing studies after Class 10 towards higher education. The selected candidates will receive a maintenance allowance and other benefits.",https://mahadbt.maharashtra.gov.in/login/login,Government
15,Maharashtra,Post Matric Scholarship to OBC Students,OBC,100000,Post-matric,"Post Matric Scholarship to OBC Students, Maharashtra 2022-23 is an initiative of the VJNT, OBC and SBC Welfare Department, Government of Maharashtra to financially help OBC students studying from Class 11 to Ph.D. level and residing in Maharashtra. The selected students will receive a maintenance allowance and other benefits.",https://mahadbt.maharashtra.gov.in/login/login,Government
16,Maharashtra,Post Matric Scholarship to SBC Students,SBC,100000,post-matric,"Post Matric Scholarship to SBC Students 2022-23, Maharashtra is an initiative of the VJNT, OBC, and SBC Welfare Department, Government of Maharashtra to financially help the SBC category students who have completed Class 10 and are continuing studies at post-matric level. The selected students will receive a maintenance allowance and other benefits.",https://mahadbt.maharashtra.gov.in/login/login,Government
17,Maharashtra,Post Matric Scholarship to VJNT Students,VJNT,150000,FYJC,"Post-Matric Scholarship to VJNT Students, Maharashtra 2022-23 is an initiative of VJNT, OBC and SBC Welfare Department, Government of Maharashtra to financially help the VJNT category students who are studying from Class 11 to Ph.D. level. The scheme will financially help the VJNT category students to pursue higher education. The selected students will receive a maintenance allowance and other benefits.",https://mahadbt.maharashtra.gov.in/login/login,Government
18,Maharashtra,Post-Matric Scholarship for persons with disability,SC Or NB,250000,SSC,"Post-Matric Tuition Fee and Examination Fee (Freeship) 2022-23, Maharashtra is an initiative of the Department of Social Justice and Special Assistance, Government of Maharashtra to provide financial assistance to Class 10 passed students. The eligible students' tuition fees, exam fees and other compulsory fees will be covered under this scheme.",https://mahadbt.maharashtra.gov.in/login/login,Government
19,Maharashtra,Rajarshi Chhatrapati Shahu Maharaj Merit Scholarship,VJ or NT or SBC,0,FYJC or HSC,"Rajarshi Chhatrapati Shahu Maharaj Merit Scholarship for VJNT & SBC Category, Maharashtra 2022-23 is an initiative by the VJNT, OBC and SBC Welfare Department, Government of Maharashtra for VJNT and SBC category students studying in Class 11 and 12. The selected students will receive INR 300 per month for ten months.",https://mahadbt.maharashtra.gov.in/login/login,Government
20,Maharashtra,Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme,SEBC,800000,professional or non-professional,"Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulk Shishyavrutti Yojna 2022-23, Maharashtra is an initiative of the Directorate of Higher Education, the Government of Maharashtra to provide financial aid to graduate and postgraduate students. The scholarship is applicable to students coming from economically weaker sections of society. The selected students will receive course fees and examination fees.",https://mahadbt.maharashtra.gov.in/login/login,Government
